Number,Title,Author,Year,Publisher,Published City,ISBN,DOI
48,"Hill Pigeon (Columba rupestris), version 1.0","Baptista, Luis F.; Trail, Pepper W.; Horblit, H. M.; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.hilpig1.01
49,"Large Hawk-Cuckoo (Hierococcyx sparverioides), version 1.0","Payne, Robert B.; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.larhac2.01
50,"Northern Hawk-Cuckoo (Hierococcyx hyperythrus), version 1.0","del Hoyo, Josep; Collar, Nigel; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.nohcuc1.01
51,"Himalayan Cuckoo (Cuculus saturatus), version 1.0","Payne, Robert B.; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.himcuc1.01
52,"Lesser Coucal (Centropus bengalensis), version 1.0","Payne, Robert B.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.lescou1.01
53,"Indian Scops-Owl (Otus bakkamoena), version 1.0","Holt, Denver W.; Berkley, Regan; Deppe, Caroline; Enríquez, Paula L.; Petersen, Julie L.; Rangel Salazar, José Luis; Segars, Kelley P.; Wood, Kristin L.; Marks, Jeffrey S.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.insowl1.01
54,"Snowy Owl (Bubo scandiacus), version 1.0","Holt, Denver W.; Larson, Matt D.; Smith, Norman; Evans, Dave L.; Parmelee, David F.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.snoowl1.01
55,"Northern Hawk Owl (Surnia ulula), version 1.0","Duncan, James R.; Duncan, Patricia A.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.nohowl.01
56,"Little Owl (Athene noctua), version 1.0","Holt, Denver W.; Berkley, Regan; Deppe, Caroline; Enríquez, Paula L.; Petersen, Julie L.; Rangel Salazar, José Luis; Segars, Kelley P.; Wood, Kristin L.; Kirwan, Guy M.; Christie, David; Marks, Jeffrey S.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.litowl1.01
57,"Himalayan Swiftlet (Aerodramus brevirostris), version 1.0","Chantler, Philip; Kirwan, Guy M.; Boesman, Peter F. D.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.himswi2.01
58,"Red-bellied Woodpecker (Melanerpes carolinus), version 1.0","Miller, Karl E.; Leonard Jr., David L.; Shackelford, Clifford E.; Brown, Raymond E.; Conner, Richard N.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rebwoo.01
59,"Blue-winged Pitta (Pitta moluccensis), version 1.0","Erritzoe, Johannes",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.blwpit1.01
60,"Ashy Woodswallow (Artamus fuscus), version 1.0","Rowley, Ian; Russell, Eleanor",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.ashwoo2.01
61,"Red-backed Shrike (Lanius collurio), version 1.0","Yosef, Reuven; International Shrike Working Group, Iswg; Christie, David",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rebshr1.01
62,"Ashy Drongo (Dicrurus leucophaeus), version 1.0","Rocamora, Gérard; Yeatman-Berthelot, Dosithée",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.ashdro1.01
63,"Indian Paradise-Flycatcher (Terpsiphone paradisi), version 1.0","Moeliker, Kees; Christie, David; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.aspfly1.01
64,"Red-billed Chough (Pyrrhocorax pyrrhocorax), version 1.0","Madge, Steve",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rebcho1.01
65,"Lesser Coucal (Centropus bengalensis), version 1.0","Payne, Robert B.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.lescou1.01
66,"Tawny Owl (Strix aluco), version 1.1","Holt, Denver W.; Berkley, Regan; Deppe, Caroline; Enríquez, Paula L.; Petersen, Julie L.; Rangel Salazar, José Luis; Segars, Kelley P.; Wood, Kristin L.; Marks, Jeffrey S.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.tawowl1.01.1
67,"Northern Hawk Owl (Surnia ulula), version 1.0","Duncan, James R.; Duncan, Patricia A.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.nohowl.01
68,"Hair-crested Drongo (Dicrurus hottentottus), version 1.0","Rocamora, Gérard; del Hoyo, Josep; Collar, Nigel; Yeatman-Berthelot, Dosithée; Christie, David; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.hacdro1.01
69,"Eurasian Crag-Martin (Ptyonoprogne rupestris), version 1.0","Turner, Angela",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.eurcrm1.01
70,"Common House-Martin (Delichon urbicum), version 1.0","del Hoyo, Josep; Turner, Angela; Kirwan, Guy M.; Collar, Nigel",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.cohmar1.01
71,"Crested Lark (Galerida cristata), version 1.0","de Juana, Eduardo; Suárez, Francisco",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.crelar2.01
72,"Beijing Babbler (Rhopophilus pekinensis), version 1.0","Collar, Nigel; Robson, Craig; Christie, David",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.beibab1.01
73,"Spotted Bush Warbler (Locustella thoracica), version 1.0","Madge, Steve; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.spobuw3.01
74,"Paddyfield Warbler (Acrocephalus agricola), version 1.0","Dyrcz, Andrzej",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.padwar1.01
75,"Willow Warbler (Phylloscopus trochilus), version 1.0","Clement, Peter",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.wlwwar.01
76,"Common Chiffchaff (Phylloscopus collybita), version 1.0","Clement, Peter; del Hoyo, Josep; Collar, Nigel; Kirwan, Guy M.; Christie, David",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.comchi1.01
77,"Tickell's Leaf Warbler (Phylloscopus affinis), version 1.0","Clement, Peter",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.tilwar1.01
78,"Hume's Warbler (Phylloscopus humei), version 1.0","Clement, Peter",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.humwar1.01
79,"Two-barred Warbler (Phylloscopus plumbeitarsus), version 1.0","Clement, Peter",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.grewar2.01
80,"Blyth's Leaf Warbler (Phylloscopus reguloides), version 1.0","Clement, Peter; Christie, David",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.blylew1.01
81,"Lesser Whitethroat (Curruca curruca), version 1.1","Aymí, Raül; Gargallo, Gabriel",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.leswhi4.01.1
82,"Snowy-browed Nuthatch (Sitta villosa), version 1.0","Harrap, Simon",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.snbnut1.01
83,"Rosy Starling (Pastor roseus), version 1.0","Craig, Adrian J. F.; Feare, C. J.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rossta2.01
84,"Orange-headed Thrush (Geokichla citrina), version 1.0","Collar, Nigel; de Juana, Eduardo",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.orhthr1.01
85,"White's Thrush (Zoothera aurea), version 1.0","del Hoyo, Josep; Collar, Nigel; Christie, David; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.scathr2.01
86,"Black-throated Thrush (Turdus atrogularis), version 1.0","Collar, Nigel",2020,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.datthr1.01
87,"European Robin (Erithacus rubecula), version 1.0","Collar, Nigel",2020,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.eurrob1.01
88,"Plumbeous Redstart (Phoenicurus fuliginosus), version 1.0","Collar, Nigel; Christie, David",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.plured1.01
89,"White-capped Redstart (Phoenicurus leucocephalus), version 1.0","Collar, Nigel",2020,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.whcred1.01
90,"Verditer Flycatcher (Eumyias thalassinus), version 1.0","Clement, Peter",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.verfly4.01
91,"Fujian Niltava (Niltava davidi), version 1.0","Clement, Peter",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.fujnil1.01
92,"Scaly-breasted Munia (Lonchura punctulata), version 1.0","Payne, Robert B.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.nutman.01
93,"Meadow Pipit (Anthus pratensis), version 1.0","Tyler, Stephanie; Sharpe, Christopher J.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.meapip1.01
94,"Rosy Pipit (Anthus roseatus), version 1.0","Tyler, Stephanie; de Juana, Eduardo",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rospip1.01
95,"Rufous-backed Bunting (Emberiza jankowskii), version 1.0","Madge, Steve; de Juana, Eduardo",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rubbun1.01
96,"Red-headed Bunting (Emberiza bruniceps), version 1.0","Copete, José Luis",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.rehbun1.01
97,"Herring Gull (Larus argentatus), version 1.0","Weseloh, D. V.; Hebert, Craig E.; Mallory, Mark L.; Poole, Alan F.; Ellis, Julie C.; Pyle, Peter; Patten, Michael A.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.hergul.01
